chemical_shift;intensity
74.500000;11.013181
74.600000;11.061283
74.700000;11.117577
74.800000;11.173872
74.900000;11.226071
75.000000;11.278269
75.100000;11.320895
75.200000;11.349894
75.300000;11.385707
75.400000;11.405134
75.500000;11.432753
75.600000;11.452180
75.700000;11.468128
75.800000;11.472185
75.900000;11.477689
76.000000;11.480298
76.100000;11.472066
76.200000;11.467929
76.300000;11.441829
76.400000;11.398211
76.500000;11.353110
76.600000;11.317767
76.700000;11.265489
76.800000;11.213211
76.900000;11.176805
77.000000;11.152186
77.100000;11.115279
77.200000;11.081932
77.300000;11.041943
77.400000;11.010148
77.500000;10.945581
77.600000;10.881013
77.700000;10.800506
77.800000;10.666141
77.900000;10.586521
78.000000;10.677812
78.100000;10.806416
78.200000;10.912690
78.300000;11.014045
78.400000;11.074436
78.500000;11.114345
78.600000;11.158351
78.700000;11.176089
78.800000;11.196532
78.900000;11.208781
79.000000;11.221031
79.100000;11.219268
79.200000;11.208662
79.300000;11.196641
79.400000;11.175811
79.500000;11.155289
79.600000;11.146314
79.700000;11.147017
79.800000;11.167459
79.900000;11.189693
80.000000;11.208344
80.100000;11.204208
80.200000;11.187782
80.300000;11.163164
80.400000;11.130353
80.500000;11.186844
80.600000;11.587068
80.700000;11.742462
80.800000;11.811046
80.900000;11.863415
81.000000;11.907250
81.100000;11.926677
81.200000;11.941128
81.300000;11.941088
81.400000;11.928759
81.500000;11.916430
81.600000;11.894994
81.700000;11.867193
81.800000;11.842575
81.900000;11.811896
82.000000;11.764663
82.100000;11.699148
82.200000;11.601809
82.300000;11.094928
82.400000;10.704677
82.500000;10.539763
82.600000;10.366591
82.700000;10.258963
82.800000;10.037714
82.900000;9.957778
83.000000;9.937258
83.100000;9.933122
83.200000;9.916696
83.300000;9.892078
83.400000;9.863363
83.500000;9.834649
83.600000;9.842802
83.700000;9.875604
83.800000;9.904169
83.900000;9.916418
84.000000;9.920475
84.100000;9.924532
84.200000;9.920395
84.300000;9.899874
84.400000;9.871159
84.500000;9.850498
84.600000;9.810509
84.700000;9.766424
84.800000;9.718243
84.900000;9.649579
85.000000;9.564530
85.100000;9.493628
85.200000;9.352670
85.300000;9.001942
85.400000;8.908100
85.500000;8.836148
85.600000;8.710134
85.700000;8.588217
85.800000;8.494975
85.900000;8.420426
86.000000;8.358940
