file,num_valid_nodes,max_intensity,mean_intensity,num_above_threshold
11100.pt,16,3.211561679840088,1.0000000149011612,2
23683.pt,14,3.2110092639923096,1.0000000447034836,4
877.pt,15,3.174602746963501,0.9999998648961385,1
11238.pt,24,3.1683168411254883,1.0000000099341075,5
4998.pt,21,3.1607465744018555,1.0000000014191581,4
5524.pt,6,3.154573917388916,0.9999999354283015,1
19385.pt,17,3.153988838195801,0.9999999947407666,2
6456.pt,13,3.151515007019043,0.999999965612705,2
625.pt,15,3.1453135013580322,1.0000000476837159,1
7912.pt,18,3.0911900997161865,0.9999999834431542,1
12344.pt,10,3.0854673385620117,0.9999999523162841,1
19077.pt,32,3.0828516483306885,1.0000000074505806,2
7721.pt,27,3.077975273132324,0.9999999514332524,6
51697.pt,17,3.0647194385528564,0.9999999368891996,2
19183.pt,13,3.057196855545044,0.9999999713439208,1
41029.pt,14,3.0478649139404297,1.0714286012308938,1
18166.pt,6,3.0410542488098145,1.0000000298023224,1
23330.pt,15,3.0315277576446533,0.9999999930461247,2
5555.pt,6,3.0303032398223877,1.0000000496705372,1
7469.pt,15,3.0266342163085938,0.9999999443689982,2
18838.pt,7,2.991452932357788,1.0000000085149492,1
6435.pt,12,2.9910268783569336,1.0,2
11290.pt,12,2.985074758529663,1.0000000198682149,1
245.pt,12,2.985074758529663,1.0000000173846881,2
51234.pt,10,2.9629628658294678,1.0000000059604646,2
7825.pt,17,2.962704658508301,0.9999999649384442,2
16195.pt,13,2.932264804840088,1.0000000527271857,1
7661.pt,23,2.9280710220336914,0.9999999144802922,5
283.pt,9,2.9211292266845703,0.9999999271498786,1
51223.pt,11,2.91005277633667,0.9999999810348857,2
10701.pt,18,2.9069766998291016,0.9999999966886308,2
2924.pt,17,2.8862478733062744,1.0000000017530777,1
16194.pt,8,2.8818442821502686,0.9999999850988388,1
1752.pt,8,2.8704700469970703,1.0,1
2435.pt,22,2.8519575595855713,0.9999999986453489,2
52122.pt,10,2.848191499710083,1.000000011920929,1
7709.pt,26,2.8415300846099854,1.0000000080237021,2
4350.pt,12,2.840909242630005,1.0000000248352687,1
51722.pt,6,2.838221311569214,0.999999980131785,1
16612.pt,17,2.8371164798736572,1.0000000859008116,2
246.pt,12,2.8328611850738525,0.9999999950329462,1
